id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
220104,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-810.0354603,-803.0526462,-806.0526462,-811.2736046,0.043025489,3.244597928,-0.625030115,2.976312242,0.96247851,0.348638297,19.61534644,1.93827736,-0.226836146,2.892340126,0.874162771,0.443532881,18.03546552
220152,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-881.7202523,-874.8242383,-877.8242383,-883.0451967,0.013151733,-1.7283931,-1.043688466,2.965041061,0.150793236,0.26043893,19.39549963,-1.794101449,-0.647028973,2.850625045,0.14257061,0.343659364,17.29859086
220184,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-740.3738408,-732.8092768,-735.8092768,-741.0302351,0.075963364,-0.431052278,0.790740802,2.415002716,0.393875086,0.687990373,11.18980074,-0.364585643,0.576463501,2.435111209,0.409849966,0.640253252,11.41708833
220186,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-852.7923009,-846.6847606,-849.6847606,-854.905719,0.020840214,2.602953397,0.420573345,3.144380366,0.931051413,0.603620438,23.20529224,1.639489265,0.730639567,3.057197804,0.837465429,0.674945605,21.26787682
220244,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-745.5830784,-738.1869821,-741.1869821,-746.4079405,0.070169646,-0.150518065,1.015053735,2.444467235,0.462441367,0.734008007,11.52440816,-0.086348892,0.701142397,2.465709971,0.47842618,0.668441007,11.77183685
220299,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-710.6510975,-703.4602496,-706.4602496,-711.681208,0.092070143,-0.038452917,1.919107616,2.168554497,0.490387955,0.872038887,8.745633061,0.058888657,1.169816784,2.213645989,0.514717911,0.763111896,9.149012861
220513,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-877.9760267,-870.834628,-873.834628,-879.0555864,0.016805697,-3.105643191,1.324974684,2.039820149,0.042875079,0.790008173,7.689226157,-2.804740869,0.580350443,2.203785683,0.057068526,0.641148039,9.059244092
220523,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-902.9546321,-897.5601821,-900.5601821,-905.7811405,0.009464476,2.481476012,2.000391619,3.553137872,0.922832973,0.880838189,34.92272877,1.169059372,1.23444762,3.466377508,0.76297495,0.774596063,32.02053795
220531,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-680.668237,-673.4938966,-676.4938966,-681.714855,0.100391554,0.513338856,2.003352308,2.249044484,0.625588853,0.881148599,9.478674486,0.611551287,1.319243421,2.281126555,0.64829459,0.789055803,9.787700588
220566,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-688.6278313,-681.3749247,-684.3749247,-689.5958831,0.101322531,0.183854139,1.05943251,2.342454663,0.545834498,0.742582082,10.4067503,0.247641772,0.807067461,2.357352789,0.561595976,0.691484246,10.56295205
220597,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-814.5356634,-806.9155308,-809.9155308,-815.1364892,0.036092708,0.302692094,-1.040408844,2.786955338,0.575100489,0.261071115,16.23152498,0.098585611,-0.777329737,2.711538863,0.52462646,0.314895674,15.05242132
220649,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-856.9393349,-851.0632986,-854.0632986,-859.2842569,0.023479623,0.215461658,1.118186994,2.882148944,0.553657991,0.753652267,17.85259622,0.22567167,0.671553779,2.897246187,0.556179694,0.661850989,18.12416601
220740,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-758.2624603,-750.8812112,-753.8812112,-759.1021696,0.059302235,2.167420626,-1.015243983,2.676502612,0.897285483,0.26595485,14.53417266,1.459778118,-0.625529816,2.594590963,0.811498736,0.348524828,13.39110878
220758,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-861.8586835,-855.9809884,-858.9809884,-864.2019468,0.023557675,0.620413481,1.804781023,2.876019856,0.650312582,0.858729929,17.74351073,0.518982341,1.160882392,2.875322278,0.626909773,0.761493013,17.73113756
220796,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-636.7607385,-629.8530024,-632.8530024,-638.0739608,0.097202064,0.568874487,0.997918506,2.16495847,0.638503428,0.730649135,8.714240004,0.600471374,0.847027169,2.170269705,0.645764141,0.699943151,8.760646514
220865,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-908.5367282,-901.5002808,-904.5002808,-909.7212392,0.007922029,-3.497827404,-0.542314629,2.305473605,0.029374112,0.367649305,10.02892687,-2.028898669,0.587120861,2.899496842,0.116201981,0.642704265,18.1650032
220889,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-711.2816165,-703.3018151,-706.3018151,-711.5227735,0.105153248,-0.050087998,2.969266569,2.321306958,0.487480618,0.95116622,10.18898218,0.024389185,1.980820491,2.345818053,0.506096994,0.878768599,10.44181119
